Item Link,Brand,Title,Category,BSR,Monthly Revenue,Price,Unit Margin,Monthly Sales,Review Quantity,Review Rate,Average Rating,Sold By,Sales / Reviews,Date Listed,Net Profit,Outlier Reason,Images,New Offers,Used Offers,Height,Width,Length,Weight,Size Tier,ASIN,Last 12 Months Sales,Last 12 Months Revenue,Next 12 Months Sales,Next 12 Months Revenue
https://www.amazon.com/dp/B07TS4L1RK,Disney,Disney Lion King Rafiki Positive Vibes Meditation Portrait Tank Top,"Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Men/Shops & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/Tanks & Camis & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Men/Shirts/Tanks Tops",10565123,$0.00,$25.99,$18.87,0,0,0,,AMZN,,--,$0.00,,71M3i5m-sFL.jpg,,,0.9843in,7.9921in,10in,0.2998lb,LargeStandardSize,B07TS4L1RK,,,,
https://www.amazon.com/dp/B072L17FLS,ZanYing,ZanYing Monk Meditation Clothing Sets Buddhist Men Casual Suits V-nek Shirt Wide Leg Pants (L) Gray,"Clothing, Shoes & Jewelry/Departments/Men/Clothing & Clothing, Shoes & Jewelry/Departments/Men/Shops",1552043,$639.20,$79.90,$67.91,8,5,0,3.7,FBM,1.6,2016-12-11,$543.28,,"51TWgTZu04L.jpg, 51MtWy5dQkL.jpg, 61BjxPraMWL.jpg, 61J49ZrshvL.jpg, 61AggoesZwL.jpg, 51u2YiUl7wL.jpg",,,2.5197in,10.315in,13.3858in,1.799lb,,B072L17FLS,309,"$24,689.10",,
https://www.amazon.com/dp/B079ZCD7VF,Threadrock,Threadrock Women's Breathe Lotus Flower Raw-Edge Raglan Shirt L Black,"Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/T-Shirts",774492,$607.60,$21.70,$18.44,28,2,0,5,FBM,14,--,$516.32,,61AMKEX3YML.jpg,,,-0.0394in,-0.0394in,-0.0394in,-0.0022lb,,B079ZCD7VF,49,"$1,063.30",,
https://www.amazon.com/dp/B079ZD4X14,Threadrock,Threadrock Women's Breathe Lotus Flower Raw-Edge Raglan Shirt S Navy,"Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/T-Shirts",774492,$65.10,$21.70,$18.44,3,2,0,5,FBM,1.5,2018-02-22,$55.32,,71WIf6COO5L.jpg,,,-0.0394in,-0.0394in,-0.0394in,-0.0022lb,,B079ZD4X14,26,$564.20,,
https://www.amazon.com/dp/B079ZGW8DF,Threadrock,Threadrock Women's Breathe Lotus Flower Raw-Edge Raglan Shirt S Kelly Green,"Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/T-Shirts",774492,$390.60,$21.70,$18.44,18,2,0,,FBM,9,--,$331.92,,71Mde01JaHL.jpg,,,-0.0394in,-0.0394in,-0.0394in,-0.0022lb,,B079ZGW8DF,,,,
https://www.amazon.com/dp/B079ZW7SZN,Threadrock,Threadrock Women's Breathe Lotus Flower Raw-Edge Raglan Shirt S Charcoal,"Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/T-Shirts",774492,$303.80,$21.70,$18.44,14,2,0,,FBM,7,--,$258.16,,71gsH4YdQEL.jpg,,,-0.0394in,-0.0394in,-0.0394in,-0.0022lb,,B079ZW7SZN,,,,
https://www.amazon.com/dp/B07ZV55MJZ,Blonde Tees Awesome Yoga Meditation Apparel,Namaste Lotus Flower Spiritual Yoga Meditation Gift T-Shirt,"Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Men/Shops & Clothing, Shoes & Jewelry/Departments/Girls & Clothing, Shoes & Jewelry/Departments/Boys & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Men/Shirts/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Girls/Tops & Tees/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Boys/Tops & Tees/T-Shirts",455805,$125.93,$17.99,$12.07,7,1,0,5,AMZN,7,--,$84.49,,71vQqvHJjAL.jpg,,,0.9843in,7.9921in,10in,0.2998lb,LargeStandardSize,B07ZV55MJZ,,,,
https://www.amazon.com/dp/B07P6D4RBK,Brave New Look,"Funny Meditation Shirt - Don't Hate, Meditate Buddha Tee","Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Men/Shops & Clothing, Shoes & Jewelry/Departments/Girls & Clothing, Shoes & Jewelry/Departments/Boys & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Men/Shirts/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Girls/Tops & Tees/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Boys/Tops & Tees/T-Shirts",3289321,$0.00,$17.99,$12.07,0,2,0,5,AMZN,,2017-01-12,$0.00,,"71S9pV0YosL.jpg, 71735wVHxxL.jpg",,,0.9843in,7.9921in,10in,0.2998lb,LargeStandardSize,B07P6D4RBK,,,,
https://www.amazon.com/dp/B07ZBZX1ZM,Zen Cat Zone Apparel,Pawsitive Vibes - Meditation Yoga Cat w/ Mandala Positivity T-Shirt,"Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Men/Shops & Clothing, Shoes & Jewelry/Departments/Girls & Clothing, Shoes & Jewelry/Departments/Boys & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Men/Shirts/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Girls/Tops & Tees/T-Shirts & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Boys/Tops & Tees/T-Shirts",2482751,$89.95,$17.99,$12.07,5,0,0,,AMZN,,--,$60.35,,714x3T1BwPL.jpg,,,0.9843in,7.9921in,10in,0.2998lb,LargeStandardSize,B07ZBZX1ZM,,,,
https://www.amazon.com/dp/B07QKWYTK9,Spirit Play T-Shirts,Womens Just Breathe Premium Meditation T-Shirt For Women,"Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/T-Shirts",,$0.00,$24.99,$18.02,,0,0,,AMZN,,--,,,71mh%2B4GXIoL.jpg,,,0.9843in,7.9921in,10in,0.2998lb,LargeStandardSize,B07QKWYTK9,,,,
https://www.amazon.com/dp/B07H98PDLS,Davatka,Davatka Lord Shiva Meditation Shirt Hinduism Vedic Spiritual Sacred Geometry Men's Unisex T-Shirt,"Clothing, Shoes & Jewelry/Departments/Men/Shops & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Men/Shirts/T-Shirts",12054488,$0.00,$14.90,$12.66,0,0,0,,FBM,,--,$0.00,,61HzrbdQAwL.jpg,,,-0.0394in,-0.0394in,-0.0394in,-0.0022lb,,B07H98PDLS,,,,
https://www.amazon.com/dp/B0815VP46S,urban print 365,"urban print 365 - Vintage Meditation Namaste Hamsa Om Mandala Yoga T Shirts for Women - Yoga Hand Lotus White Tone (XL, Burgundy-P116)","Clothing, Shoes & Jewelry/Departments/Women/Shops & Clothing, Shoes & Jewelry/Departments/Novelty & More/Clothing/Novelty/Women/Tops & Tees/T-Shirts",2023286,$99.95,$19.99,$16.99,5,0,0,,FBM,,--,$84.95,,"71vuKAEsSJL.jpg, 81KB5skDMxL.jpg, 71aowQLarsL.jpg, 81yKqOTu7rL.jpg, 81-00JpMjpL.jpg, 61jvfTdByYL.jpg, 51MVnRXcYcL.jpg",,,0.9843in,7.9921in,10in,0.2998lb,,B0815VP46S,,,,
